タイトル,平均価格,送料,販売数,売上合計,最終販売日
Magia Record Puella Magi Madoka Magica Splash Girls Madoka Homura Figure set,54.18,10,41,2221.57,Jul 18 2026
Round1 x Ado Figure Winter Ver. Limited Prize Figure Official NEW,49.96,13.88,33,1648.68,Jul 12 2026
Ado Figure Winter Ver. 7" Figure Round1 Limited Prize TAITO New - US Seller,53.77,0,32,1720.73,Jul 18 2026
Lucky Star Izumi Konata Trio-Try-iT Figure FuRyu 17cm NEW,33.69,0,23,774.94,Jul 11 2026
Round1 x Ado Figure Winter Ver. Limited Prize Figure Official NEW,40.55,4.99,22,892.06,Jul 18 2026
Satoru Gojo EAKI Jujutsu Kaisen Cat Ear Plush Series Figure Confirmed Blind Box,10.4,0,21,218.47,Jul 14 2026
JoJo Steel Ball Run Johnny Joestar Gyro Zeppeli Mometria Figure Set of 2 New,56.29,0,21,1182.18,Jul 11 2026
Banpresto My Hero Academia Maximatic Figure Toy Katsuki Bakugo,12.07,0,21,253.37,Jul 18 2026
Re Zero Felt Reinhard Figure Set Starting Life in Another World Japan,60.65,12,20,1213,Jul 16 2026
JoJo Steel Ball Run Mometria Johnny Joestar Gyro Zeppeli Figure Set of 2,63.46,0,19,1205.81,Jul 13 2026
Evangelion Shin Gekijouban Nagisa Kaworu Naomi Torami 1/7 28cm Anime Figures,75.93,21.74,14,1063.07,Jul 18 2026
DEATH NOTE L Noodle Stopper Figure Furyu,29.86,7,14,418.03,Jul 18 2026
Re:Zero Rem Cat-Eared Anime Figure Set,13.68,0,13,177.78,Jul 17 2026
Mononoke the Movie Noodle Stopper Figure Medicine Seller Furyu New,35.46,0,12,425.5,Jul 17 2026
Mattel Jurassic World Roaring Quetzalcoatlus Battle Action Dinosaur Figure Toy,75,16.51,12,899.98,Jul 15 2026
Capcom Biohazard Leon S Kennedy Kewpie Figure Expo Limited 2025 Japan,38.29,0,12,459.42,Jul 18 2026
My Dress-Up Darling Marin Kitagawa T-most Figure Halloween Bunny ver. Marine,36.73,8,11,404,Jul 18 2026
Medicos JoJo's Bizarre Adventure: Stardust Crusaders - Noriaki Kakyoin Nendoroid,35.95,14.63,11,395.45,Jul 14 2026
McDonald's x Evangelion Collaboration EVA Japanese Anime Value set Figure,77.59,0,11,853.47,Jul 12 2026
Lucky Star Kagami Hiiragi Tsukasa Hiiragi Figure 2 Set Trio-Try-iT FuRyu NEW,59.05,2.49,11,649.52,Jul 15 2026
Ichiban kuji My Hero Academia Izuku Midoriya Katsuki Bakugo Figure Set of 2,249.45,0,11,2743.9,Jul 11 2026
Anime Hatsune Miku Snow Miku × Kuromi Action Figure PVC Collectible Model Gift,14.99,0,11,164.89,Jul 16 2026
Magia Record Puella Magi Madoka Magica Splash Girls Madoka Homura Figure set,46.66,12,10,466.59,Jul 14 2026
Jonathan Joestar & Dio Brando JoJo's Bizarre Adventure Figure 11cm PVC Statue,65.23,0,10,652.31,Jul 16 2026
Animal Crossing Happy Room All 6 Types Figure Complete Set Re-Ment,77.63,0,10,776.3,Jul 17 2026
TAKARA TOMY Pokemon 30th Anniversary Welcome Back Pikachu 1/1 Scale Figure,90.13,0,9,811.21,Jul 8 2026
Puella Magi Madoka Magica Nagisa Momoe Figure 16cm Anime Character Collectible,13.32,20.99,9,119.91,Jul 11 2026
One Piece Leader Card & Figure LECAFIG Yamato & Jewelry Bonney Set of 2 Japan,82.97,16.11,9,746.75,Jul 15 2026
Chainsaw Man Reze Arc High Premium Figure Angel Devil & Aki Hayakawa Set of 2,63.99,12,9,575.91,Jul 5 2026
Sega Prize Chainsaw Man Reze Arc High-Premium Figure Angel Devil JAPAN NEW,44.25,0,8,354,Jul 11 2026
Re Zero Felt Reinhard Figure Set GiGO Limited FuRyu Prize Japan New,61.9,0,8,495.2,Jul 18 2026
Lucky Star Izumi Konata Trio-Try-iT Figure FuRyu 17cm,32.8,10,8,262.4,Jul 18 2026
Ichiban Kuji My Hero Academia Katsuki Bakugo MASTERLISE Figure C Prize,128.75,10.63,8,1030,Jul 7 2026
Bleach Ichigo Kurosaki Hollowfied Horn & Final Getsuga Tensho Figure 23cm Statue,70,0,8,560.02,Jul 17 2026
Anime Figure Soft Hug Series Fluffy Espurr Plush Toy,46.99,0,8,375.93,Jul 9 2026
Re Zero Julius Juukulius & Anastasia Hoshin Figure Set GiGO Exclusive,79.9,0,7,559.3,Jul 13 2026
My Hero Academia Ichiban Kuji C Prize Katsuki Bakugo MASTERLISE Figure NEW,126.3,0,7,884.08,Jul 16 2026
McDonald's x Evangelion Collaboration EVA Japanese Anime Value set Figure,73.44,0,7,514.06,Jun 28 2026
Lucky Star Konata Izumi Kagami Hiiragi Figure 2 Set Trio-Try-iT FuRyu JAPAN NEW,59.14,2.21,7,413.97,Jul 12 2026
Gachiakuta VIBRATION STARS Figure Rudo & Zanka & Enjin & Riyo Set BANPRESTO,117.14,11.67,7,820,Jul 14 2026
Demon Slayer Kimetsu no Yaiba Luminasta Shinobu Kocho Figure SEGA JAPAN NEW,35.14,3,7,246,Jul 17 2026
Animal Crossing Happy Room All 6 Types Complete Set Re-Ment New Display Figure,79.99,0,7,559.93,Jul 18 2026
Tokyo Ghoul Ken Kaneki II Figure Banpresto Grandista BANDAI New Sealed,40.64,2,6,243.82,Jul 13 2026
Tokyo Ghoul Ken Kaneki 20cm GK Statue Figure Sitting Model Anime Toy,44.99,0,6,269.94,Jul 15 2026
Satoru Gojo Hollow Purple Kyoshiki Murasaki Luminasta Jujutsu Kaisen Figure SEGA,32.75,0,6,196.5,Jul 6 2026
Persona 5 POP UP PARADE Crow Akechi Goro Figure Good Smile Company,60,9.54,6,360,Jul 18 2026
PSL BLACK LAGOON Revy Bunny Ver. One-Seventh Carat Figure NEW Japan,35.66,0,6,213.96,Jul 15 2026
My Hero Academia Izuku Midoriya "You Can Do It" Ichibansho MASTERLISE Figure,125.99,9.2,6,755.94,Jul 14 2026
My Hero Academia Ichiban Kuji C Prize Katsuki Bakugo MASTERLISE Figure New,131.99,0,6,791.95,Jul 15 2026
Kasane teto Anime figure Pink dress model action figures toys POP UP PARADE NEW,19.89,0,6,119.34,Jun 22 2026
Ichiban Kuji My Hero Academia Katsuki Bakugo Masterlise C Prize Figure Boxed Toy,114.48,18.01,6,686.88,Jul 16 2026
Ichiban Figure My Hero Academia Weaving Feelings B Katsuki Bakugo,121.49,10.3,6,728.95,Jul 17 2026
Hatsune Miku Luminasta Classical Maid Vocaloid Figure New SEGA - US Seller,24.46,0,6,146.75,Jun 29 2026
Haikyu!! Posing Figure Kenma Kozume & Tetsuro Kuroo Set Second Uniform Ver. JP,48.32,0,6,289.9,Jul 13 2026
DEATH NOTE L Noodle Stopper Figure FuRyu Prize Figure New Unopened,36.07,0,6,216.44,Jul 10 2026
Bleach Yoruichi Shihouin Thunder Beast Form GK Figure 25cm PVC Statue,88.66,0,6,531.95,Jun 29 2026
The Summer Hikaru Died Hikaru Nendoroid figure Orange Rouge NEW,80.68,0,5,403.38,Jun 29 2026
Porco Rosso Savoia S.21 Model Glows Sounds Studio Ghibli 30th Anniversary,123,20,5,615,Jul 17 2026
New Monkey D Luffy Gear 5 Action Figure Toy Box Set Gift in Stock with box,35.91,0,5,179.57,Jul 14 2026
Nendoroid Baldur's Gate 3 Astarion Figure Good Smile Company,74.99,0,5,374.95,Jul 5 2026
JoJo's Bizarre Adventure Steel Ball Run Ichiban Kuji B Prize Gyro Zeppeli Figure,58,0,5,290,Jul 8 2026
JoJo Steel Ball Run Mometria Johnny Joestar Gyro Zeppeli Figure Set of 2,55.96,0,5,279.8,Jul 14 2026
