タイトル,平均価格,送料,販売数,売上合計,最終販売日
Re:Zero Rem Cat-Eared Anime Figure Set,13.68,0,13,177.78,Jul 17 2026
Mattel Jurassic World Roaring Quetzalcoatlus Battle Action Dinosaur Figure Toy,75,16.51,12,899.98,Jul 15 2026
My Dress-Up Darling Marin Kitagawa T-most Figure Halloween Bunny ver. Marine,36.73,8,11,404,Jul 18 2026
Animal Crossing Happy Room All 6 Types Figure Complete Set Re-Ment,77.63,0,10,776.3,Jul 17 2026
Re Zero Felt Reinhard Figure Set GiGO Limited FuRyu Prize Japan New,61.9,0,8,495.2,Jul 18 2026
Re Zero Julius Juukulius & Anastasia Hoshin Figure Set GiGO Exclusive,79.9,0,7,559.3,Jul 13 2026
McDonald's x Evangelion Collaboration EVA Japanese Anime Value set Figure,73.44,0,7,514.06,Jun 28 2026
Bleach Yoruichi Shihouin Thunder Beast Form GK Figure 25cm PVC Statue,88.66,0,6,531.95,Jun 29 2026
Kingdom Hearts Ichiban Kuji Sora Statue Linking Hearts Prize A Japan,100,0,4,400,Jul 18 2026
DMM Lottery Kuji DEATH NOTE Last One Prize Misa Amane Figure NEW Japan,144.34,24,4,577.37,Jul 17 2026
POP UP PARADE Super Sonico 15th Mini Dress Ver. L Size Figure GSC,109.95,14.31,4,439.8,Jun 30 2026
Nendoroid Baldur's Gate 3 Astarion Figure Good Smile Company,74.99,0,5,374.95,Jul 5 2026
Evangelion Misato Katsuragi Figure Angel Attack Prize D Ichiban Kuji Bandai,54.63,0,4,218.5,Jul 15 2026
Naruto Shippuden Vibration Stars TOBI Figure BANPRESTO JAPAN,42.99,7.03,4,171.96,Jul 15 2026
New Monkey D Luffy Gear 5 Action Figure Toy Box Set Gift in Stock with box,35.91,0,5,179.57,Jul 14 2026
GIGO Exclusive Re:Zero Royal Selection & Knight Figure NEW Japan,62.35,14,4,249.39,Jun 28 2026
Lucky Star Izumi Konata Trio-Try-iT Figure FuRyu 17cm,32.8,10,8,262.4,Jul 18 2026
Anime Figure Soft Hug Series Fluffy Espurr Plush Toy,46.99,0,8,375.93,Jul 9 2026
