タイトル,平均価格,送料,販売数,売上合計,最終販売日
Jonathan Joestar & Dio Brando JoJo's Bizarre Adventure Figure 11cm PVC Statue,65.23,0,10,652.31,Jul 16 2026
Bleach Ichigo Kurosaki Hollowfied Horn & Final Getsuga Tensho Figure 23cm Statue,70,0,8,560.02,Jul 17 2026
Gachiakuta VIBRATION STARS Figure Rudo & Zanka & Enjin & Riyo Set BANPRESTO,117.14,11.67,7,820,Jul 14 2026
Lucky Star Konata Izumi Kagami Hiiragi Figure 2 Set Trio-Try-iT FuRyu JAPAN NEW,59.14,2.21,7,413.97,Jul 12 2026
Animal Crossing Happy Room All 6 Types Complete Set Re-Ment New Display Figure,79.99,0,7,559.93,Jul 18 2026
Ichiban Kuji My Hero Academia Katsuki Bakugo Masterlise C Prize Figure Boxed Toy,114.48,18.01,6,686.88,Jul 16 2026
Persona 5 POP UP PARADE Crow Akechi Goro Figure Good Smile Company,60,9.54,6,360,Jul 18 2026
JoJo's Bizarre Adventure Steel Ball Run Ichiban Kuji B Prize Gyro Zeppeli Figure,58,0,5,290,Jul 8 2026
JoJo Steel Ball Run Mometria Johnny Joestar Gyro Zeppeli Figure Set of 2,55.96,0,5,279.8,Jul 14 2026
Demon Slayer Kimetsu no Yaiba Luminasta Shinobu Kocho Figure SEGA JAPAN NEW,35.14,3,7,246,Jul 17 2026
Tokyo Ghoul Ken Kaneki II Figure Banpresto Grandista BANDAI New Sealed,40.64,2,6,243.82,Jul 13 2026
DEATH NOTE L Noodle Stopper Figure FuRyu Prize Figure New Unopened,36.07,0,6,216.44,Jul 10 2026
Tokyo Ghoul Ken Kaneki 20cm GK Statue Figure Sitting Model Anime Toy,44.99,0,6,269.94,Jul 15 2026
PSL BLACK LAGOON Revy Bunny Ver. One-Seventh Carat Figure NEW Japan,35.66,0,6,213.96,Jul 15 2026
Capcom Biohazard Leon S Kennedy Kewpie Figure Expo Limited 2025 Japan,38.29,0,12,459.42,Jul 18 2026
TAKARA TOMY Pokemon 30th Anniversary Welcome Back Pikachu 1/1 Scale Figure,90.13,0,9,811.21,Jul 8 2026
Ichiban Figure My Hero Academia Weaving Feelings B Katsuki Bakugo,121.49,10.3,6,728.95,Jul 17 2026
My Hero Academia Ichiban Kuji C Prize Katsuki Bakugo MASTERLISE Figure New,131.99,0,6,791.95,Jul 15 2026
Porco Rosso Savoia S.21 Model Glows Sounds Studio Ghibli 30th Anniversary,123,20,5,615,Jul 17 2026
Puella Magi Madoka Magica Walpurgisnacht Rising Madoka Homura Figure Set New,72.99,0,4,291.96,Jun 24 2026
Mononoke the Movie Noodle Stopper Figure 2026 Furyu japan NEW,33.22,0,4,132.87,Jul 7 2026
Ichiban Kuji TV Anime The Apothecary Diaries A Prize Maomao Figure BANDAI JAPAN,115.75,0,4,463,Jul 13 2026
The Summer Hikaru Died Hikaru Nendoroid figure Orange Rouge,68.91,17.99,3,206.73,Jun 22 2026
Neon Genesis EVANGELION Extra Figure Fruits Punch Rei & Asuka feat.Okama SEGA,154.92,0,3,464.77,Jul 17 2026
Proof Darling in the FranXX Zero Two 1/7 Scale PVC Finished Painted Figure,219.47,0,3,658.41,Jul 11 2026
Homura Akemi 1/8 Scale Figure Puella Magi Madoka Magica Good Smile Company,109.9,25,3,329.7,Jul 15 2026
Manhattan Cafe Special Fan Set 5pcs Figure Plush Ichiban Kuji Umamusume Japan,163.33,18.67,3,490,Jul 10 2026
Ichiban Kuji My Hero Academia Armored All Might MASTERLISE Figure Last One Prize,163.33,16.67,3,490,Jul 14 2026
Kotobukiya ARTFX J 1/8 Pokemon Hikari with Piplup Figure Pokemon Japan,168.52,32,3,505.57,Jun 25 2026
Soul of Chogokin GX-85 Titanus King Brachion Mighty Morphin Power Rangers,566.66,102,3,1699.97,Jul 17 2026
Naruto Shippuden VIBRATION STARS UCHIHA ITACHI III YAKUSHI KABUTO Figure Set,49.72,0,3,149.15,Jul 15 2026
Puella Magi Madoka Magica Rebellion Homura Akemi Madoka Kaname Figure Set New,78.99,0,3,236.97,Jul 11 2026
Attack on Titan Female Titan Revoltech Action Figure Anime Collectible Model,53.99,0,3,161.97,Jul 17 2026
Hazbin Hotel Mini Figure Collection vol.1 & vol.2 complete Set of 6 Bandai Japan,58.02,0,3,174.07,Jul 14 2026
Genshin Impact Citlali Obsidian Opalstar Ver 1/8 figure Myethos,99.4,19.5,3,298.2,Jun 30 2026
Ichiban Kuji The Apothecary Diaries A Maomao Mao Mao MASTERLISE Toy Figure,82,15,3,246,Jun 26 2026
25cm Bleach Yoruichi Figure Thousand Year Blood War Anime Collectible Toy,96.96,0,3,290.88,Jul 11 2026
One Piece Elbaf Arc Ichiban Kuji A Prize Luffy MASTERLISE EXPIECE Figure New,59,0,3,177,Jul 10 2026
Toradora! Noodle Stopper Aisaka Taiga Figure FuRyu NEW Japan Anime,33.58,0,3,100.75,Jul 17 2026
NEW Jujutsu Kaisen FIGURIZMa Choso Figure Flowing Red Scale Stack New Japan,54.37,0,3,163.11,Jul 17 2026
Puella Magi Madoka Magica Walpurgisnacht Rising Madoka Kaname Figure BANPRESTO,31.8,9,4,127.2,Jul 10 2026
Demon Slayer Akaza Model Koyuki Statuer 27cm Figure Model Collectable Toy Gift,61.99,0,4,247.96,Jul 11 2026
Authentic Anime Figure Set 3 Pieces Collectible Toys Super Sonico Japan,141.31,24,4,565.25,Jul 17 2026
